Method,NumLearningCycles,LearnRate,MinLeafSize,Objective
Bag,207,NaN,1,0.0434799999999841
Bag,190,NaN,1,0.0434999999999841
Bag,226,NaN,1,0.0435599999999841
Bag,178,NaN,1,0.0435999999999841
Bag,471,NaN,1,0.0436199999999841
Bag,500,NaN,3,0.0448199999999836
Bag,14,NaN,1,0.0449799999999836
Bag,12,NaN,1,0.0449999999999836
Bag,12,NaN,2,0.0453599999999835
AdaBoostM1,10,0.343593205211245,197,0.0565399999999796
GentleBoost,473,0.0543631291711374,5,0.0567199999999795
AdaBoostM1,10,0.138561623952475,1,0.0576599999999792
RUSBoost,11,0.00932241707641009,8,0.0577399999999791
RUSBoost,26,0.102605106881169,55,0.057999999999979
RUSBoost,10,0.0341937868210702,1,0.058099999999979
AdaBoostM1,19,0.0374784561272133,9,0.0591799999999786
GentleBoost,10,0.163450636318004,21791,0.0593799999999786
GentleBoost,10,0.295966161180439,274,0.0593799999999786
GentleBoost,10,0.41820221865545,1,0.0593799999999786
AdaBoostM1,234,0.00148388683758185,5310,0.0594599999999785
AdaBoostM1,43,0.294434855959483,13358,0.0594599999999785
Bag,10,NaN,859,0.0594599999999785
Bag,299,NaN,12752,0.0594599999999785
LogitBoost,10,0.356403802289581,1,0.0594599999999785
LogitBoost,11,0.490387936935533,23685,0.0594599999999785
LogitBoost,12,0.713486609142447,121,0.0594599999999785
LogitBoost,10,0.523742585426971,2263,0.0594599999999785
LogitBoost,10,0.721821322462921,11,0.0594599999999785
LogitBoost,10,0.00110791434311103,32,0.0594599999999785
RUSBoost,12,0.0413133954038907,23886,0.472019999999528
